Datetime,Imputed_PM25_15,Imputed_AOD_15,NDVI_2019_15,CWVDailyMean_2019_15,TempDailyMean_2019_15,RHDailyMean_2019_15,WSDailyMean_2019_15,WDDailyMean_2019_15,PressureDailyMean_2019_15,BLHDailyMean_2019_15
2019-03-19 00:00,104.6704545,0.216299002,0.302655239,1.9725,294.4346924,55.61914063,2.351676941,344.2420044,985.9207813,537.7498169
2019-03-20 00:00,107.5520253,0.663410763,0.302290702,1.049,295.5663757,53.01212692,3.819277287,117.7867508,984.593125,434.4071045
2019-03-21 00:00,67.66666667,0.391549148,0.301762541,2.323,295.1584473,53.82839966,2.175399303,18.78824234,987.4165625,542.9042358
2019-03-22 00:00,30.73913043,0.167,0.3012,1.1605,295.1626587,42.45730591,3.620969772,325.4721069,989.4321875,642.4226074
2019-03-23 00:00,53.7625,0.22,0.300661676,1.539,295.4968567,40.98512268,4.085198402,317.4917297,988.6460938,588.0778809
2019-03-24 00:00,49.54166667,0.4795,0.299923578,2.1395,297.1642456,44.60114288,3.610284328,327.2814331,987.3145313,653.6549072
2019-03-25 00:00,69.51136364,0.402,0.298691067,2.731,294.7740479,63.9619751,2.370450974,323.5224609,987.5151563,389.0264587
2019-03-26 00:00,76.51041667,0.2535,0.296669507,1.6615,295.4196167,59.58367157,2.857017517,315.645874,988.7165625,617.7235718
2019-03-27 00:00,98.78125,0.663410763,0.293564258,0.926,296.4328613,57.37668991,2.540856361,317.5174561,989.2897656,528.9067993
2019-03-28 00:00,148.3854167,0.663410763,0.289080683,2.3615,298.8117676,56.70878601,2.29304862,321.5396729,987.1878125,456.6844482
2019-03-29 00:00,107.6770833,0.350624814,0.282924143,2.747,299.9661255,52.55406189,2.37181139,317.91745,984.44625,464.7379456
2019-03-30 00:00,117.3977273,0.43453267,0.2748,2.773,300.2828369,55.67009735,1.659798861,314.3258667,983.7454688,355.5991821
2019-03-31 00:00,56.21875,0.2,0.264578428,1.008,299.2932129,38.62649918,3.756913662,323.3721924,983.7129688,601.4099121
2019-04-01 00:00,54.83333333,0.0855,0.252788844,1.169,298.3596191,34.00071716,3.545567036,314.7832642,984.3975781,606.9794922
2019-04-02 00:00,114.1041667,0.433331115,0.24012548,1.2415,297.8748169,42.05509949,2.056459665,322.6332092,985.035,480.6203308
2019-04-03 00:00,104.8863636,0.1575,0.227282565,1.679,299.4420776,39.23792267,2.456037521,322.4866638,984.1659375,519.0177002
2019-04-04 00:00,140.8333333,0.518722798,0.21495433,2.249,300.874176,45.61709213,1.678276181,24.68826675,984.6767969,508.1426392
2019-04-05 00:00,138.09375,1.032459118,0.203835003,2.592,302.0380249,46.79706192,1.324743986,320.2586365,983.5519531,445.1607666
